area,areaM2,balconyDirection,bedroom,bedroomCount,direction,floorCount,frontage,lat,legal,long,price,priceBil,priceExt,priceMil,pricePerM2,priceVnd,road,toiletCount
45 m²,45.0,0,0,0,0,4 tầng,4 m,20.9671662992027,0,105.774130329652,"9,2 tỷ",9.2,"~204,44 triệu/m²",0.2044621230639319,204.44444444444449,0.8870592968985497,4 m,0
200 m²,200.0,0,0,0,0,0,0,20.97924041748047,Sổ đỏ,105.74178314208984,Thỏa thuận,0.0,0,0.0,-0.005,0.0012098609467161303,0,0
45 m²,45.0,0,4 PN,4 phòng,0,4 tầng,"4,2 m",20.9688304281393,Sổ đỏ/ Sổ hồng,105.769307681096,"8,2 tỷ",8.2,"~182,22 triệu/m²",0.1822403946578965,182.22222222222223,0.0949500331651628,0,4 phòng
285 m²,285.0,Đông - Nam,4 PN,4 phòng,Đông - Nam,4 tầng,15 m,20.9731559753418,Sổ đỏ/ Sổ hồng,105.75764465332,Thỏa thuận,0.0,0,0.0,-0.0035087719298245,0.0012098609467161303,24 m,4 phòng
41 m²,41.0,0,4 PN,4 phòng,0,4 tầng,4 m,20.9670951322269,Sổ đỏ/ Sổ hồng,105.764765628922,"6,5 tỷ",6.5,"~158,51 triệu/m²",0.14446345636763627,158.53658536585365,0.5036295821189493,3 m,4 phòng
94 m²,94.0,Tây - Nam,3 PN,3 phòng,Đông - Bắc,0,0,20.97447204589844,Sổ đỏ/ Sổ hồng,105.76087951660156,"4,5 tỷ",4.5,"~47,87 triệu/m²",0.10001999955556543,47.87234042553192,0.9844290514763452,0,2 phòng
41 m²,41.0,Tây - Nam,4 PN,4 phòng,Tây - Nam,4 tầng,"3,5 m",20.9678935647029,Sổ đỏ/ Sổ hồng.,105.755008353113,"6,5 tỷ",6.5,"~158,54 triệu/m²",0.14446345636763627,158.53658536585365,0.5036295821189493,"3,5 m",3 phòng
90 m²,90.0,0,4 PN,4 phòng,0,3 tầng,0,20.9430376582065,Sổ đỏ/ Sổ hồng,105.756438493799,"10,8 tỷ",10.8,~120 triệu/m²,0.2400168885135886,120.0,0.5024197214126329,0,3 phòng
78 m²,78.0,Nam,3 PN,3 phòng,Bắc,0,0,20.9397029876709,Đang chờ sổ,105.7872543334961,"2,95 tỷ",2.95,"~37,82 triệu/m²",0.06557632052621053,37.82051282051282,0.3245396418162423,0,2 phòng
50 m²,50.0,0,0,0,0,2 tầng,5 m,20.9510702060366,Sổ đỏ/ Sổ hồng,105.750205388563,"10,7 tỷ",10.7,~214 triệu/m²,0.23779471567298505,214.0,0.5264596948805027,12 m,0
